timestamp,municipality_id,usage,total_capacity
2017-06-04 07:59:42,5,70,587
2017-06-04 08:59:42,5,89,587
2017-06-04 09:59:48,5,159,587
2017-06-04 10:59:48,5,228,587
2017-06-04 11:59:44,5,268,587
2017-06-04 13:02:48,5,278,587
2017-06-04 14:02:47,5,247,587
2017-06-04 14:02:47,5,247,587
2017-06-04 16:04:12,5,171,587
2017-06-05 09:30:15,5,92,587
2017-06-05 10:30:17,5,137,587
2017-06-05 11:30:18,5,171,587
2017-06-05 12:30:16,5,192,587
2017-06-05 12:04:14,5,187,587
2017-06-05 13:30:19,5,188,587
2017-06-05 14:30:17,5,167,587
2017-06-05 16:04:18,5,130,587
2017-06-06 08:57:22,5,79,587
2017-06-06 10:30:20,5,169,587
2017-06-06 10:57:20,5,186,587
2017-06-06 12:30:24,5,215,587
2017-06-06 12:04:24,5,208,587
2017-06-06 13:30:21,5,217,587
2017-06-06 15:04:22,5,167,587
2017-06-06 16:04:23,5,144,587
2017-06-07 08:30:27,5,70,587
2017-06-07 09:30:27,5,112,587
2017-06-07 09:57:27,5,137,587
2017-06-07 10:57:30,5,197,587
2017-06-07 12:03:29,5,219,587
2017-06-07 13:30:29,5,210,587
2017-06-07 14:03:28,5,202,587
2017-06-07 15:04:30,5,181,587
2017-06-07 15:04:30,5,181,587
2017-06-08 08:57:34,5,84,587
2017-06-08 10:30:34,5,200,587
2017-06-08 10:57:34,5,232,587
2017-06-08 12:30:36,5,329,587
2017-06-08 13:30:36,5,366,587
2017-06-08 14:30:35,5,409,587
2017-06-08 14:57:41,5,404,587
2017-06-08 16:04:39,5,390,587
2017-06-09 08:04:40,5,51,587
2017-06-09 09:04:46,5,52,587
2017-06-09 09:57:41,5,59,587
2017-06-09 11:30:41,5,135,587
2017-06-09 11:57:46,5,157,587
2017-06-09 13:30:42,5,214,587
2017-06-09 14:30:42,5,218,587
2017-06-09 15:04:44,5,200,587
2017-06-09 16:03:43,5,164,587
2017-06-10 08:30:47,5,65,587
2017-06-10 09:30:49,5,82,587
2017-06-10 10:30:48,5,122,587
2017-06-10 10:57:52,5,153,587
2017-06-10 11:57:49,5,168,587
2017-06-10 13:04:49,5,185,587
2017-06-10 14:03:49,5,170,587
2017-06-10 14:03:49,5,170,587
2017-06-10 15:57:55,5,139,587
2017-06-11 08:30:54,5,73,587
2017-06-11 08:57:56,5,83,587
2017-06-11 09:57:59,5,138,587
2017-06-11 10:57:55,5,209,587
2017-06-11 12:03:55,5,234,587
2017-06-11 13:04:00,5,226,587
2017-06-11 14:04:00,5,217,587
2017-06-11 15:03:58,5,176,587
2017-06-11 16:01:00,5,159,587
2017-06-12 08:31:01,5,66,587
2017-06-12 09:26:58,5,82,587
2017-06-12 10:31:04,5,121,587
2017-06-12 11:31:05,5,137,587
2017-06-12 12:31:05,5,167,587
2017-06-12 13:34:03,5,173,587
2017-06-12 14:03:59,5,176,587
2017-06-12 15:01:03,5,149,587
2017-06-12 15:01:03,5,149,587
2017-06-13 09:31:01,5,106,587
2017-06-13 09:57:08,5,136,587
2017-06-13 11:31:06,5,229,587
2017-06-13 11:57:06,5,239,587
2017-06-13 13:04:04,5,223,587
2017-06-13 13:04:04,5,223,587
2017-06-13 15:04:08,5,171,587
2017-06-13 16:04:08,5,141,587
2017-06-14 08:27:10,5,66,587
2017-06-14 09:27:10,5,109,587
2017-06-14 10:27:09,5,166,587
2017-06-14 11:27:06,5,229,587
2017-06-14 12:01:11,5,233,587
2017-06-14 13:01:11,5,214,587
2017-06-14 14:01:11,5,191,587
2017-06-14 15:01:12,5,180,587
2017-06-14 16:01:11,5,147,587
2017-06-15 08:34:10,5,72,587
