timestamp,municipality_id,usage,total_capacity
2017-06-04 07:59:42,9,454,1332
2017-06-04 07:59:42,8,556,2947
2017-06-04 07:59:42,4,1090,3893
2017-06-04 07:59:42,0,204,2813
2017-06-04 07:59:42,7,718,2019
2017-06-04 07:59:42,5,70,587
2017-06-04 07:59:42,2,273,697
2017-06-04 07:59:42,1,129,397
2017-06-04 07:59:42,6,597,3113
2017-06-04 07:59:42,3,623,1930
2017-06-04 08:59:42,2,355,697
2017-06-04 08:59:42,9,527,1332
2017-06-04 08:59:42,6,801,3113
2017-06-04 08:59:42,7,873,2019
2017-06-04 08:59:42,4,2016,3893
2017-06-04 08:59:42,8,857,2947
2017-06-04 08:59:42,5,89,587
2017-06-04 08:59:42,3,967,1930
2017-06-04 08:59:42,0,332,2813
2017-06-04 08:59:42,1,164,397
2017-06-04 09:59:48,8,1172,2947
2017-06-04 09:59:48,9,666,1332
2017-06-04 09:59:48,6,1061,3113
2017-06-04 09:59:48,4,2811,3893
2017-06-04 09:59:48,0,485,2813
2017-06-04 09:59:48,5,159,587
2017-06-04 09:59:48,1,245,397
2017-06-04 09:59:48,2,494,697
2017-06-04 09:59:48,7,1151,2019
2017-06-04 09:59:48,3,1263,1930
2017-06-04 10:59:48,1,317,397
2017-06-04 10:59:48,3,1396,1930
2017-06-04 10:59:48,5,228,587
2017-06-04 10:59:48,2,582,697
2017-06-04 10:59:48,9,800,1332
2017-06-04 10:59:48,0,583,2813
2017-06-04 10:59:48,6,1219,3113
2017-06-04 10:59:48,4,3178,3893
2017-06-04 10:59:48,7,1373,2019
2017-06-04 10:59:48,8,1363,2947
2017-06-04 11:59:44,4,3257,3893
2017-06-04 11:59:44,0,614,2813
2017-06-04 11:59:44,6,1297,3113
2017-06-04 11:59:44,8,1399,2947
2017-06-04 11:59:44,2,643,697
2017-06-04 11:59:44,7,1479,2019
2017-06-04 11:59:44,9,845,1332
2017-06-04 11:59:44,1,341,397
2017-06-04 11:59:44,3,1456,1930
2017-06-04 11:59:44,5,268,587
2017-06-04 13:02:48,8,1376,2947
2017-06-04 13:02:48,2,660,697
2017-06-04 13:02:48,1,342,397
2017-06-04 13:02:48,7,1470,2019
2017-06-04 13:02:48,3,1457,1930
2017-06-04 13:02:48,0,605,2813
2017-06-04 13:02:48,5,278,587
2017-06-04 13:02:48,6,1297,3113
2017-06-04 13:02:48,4,3241,3893
2017-06-04 13:29:45,9,820,1332
2017-06-04 14:02:47,4,3154,3893
2017-06-04 14:02:47,6,1271,3113
2017-06-04 14:02:47,9,824,1332
2017-06-04 14:02:47,7,1461,2019
2017-06-04 14:02:47,2,646,697
2017-06-04 14:02:47,1,341,397
2017-06-04 14:02:47,0,585,2813
2017-06-04 14:02:47,5,247,587
2017-06-04 14:02:47,3,1439,1930
2017-06-04 14:02:47,8,1361,2947
2017-06-04 14:02:47,0,585,2813
2017-06-04 14:02:47,4,3154,3893
2017-06-04 14:02:47,7,1461,2019
2017-06-04 14:02:47,9,824,1332
2017-06-04 14:02:47,2,646,697
2017-06-04 14:02:47,6,1271,3113
2017-06-04 14:02:47,8,1361,2947
2017-06-04 14:02:47,1,341,397
2017-06-04 14:02:47,5,247,587
2017-06-04 14:02:47,3,1439,1930
2017-06-04 16:04:12,0,470,2813
2017-06-04 16:04:12,8,1130,2947
2017-06-04 16:04:12,6,1028,3113
2017-06-04 16:04:12,3,1227,1930
2017-06-04 16:04:12,9,673,1332
2017-06-04 16:04:12,4,2665,3893
2017-06-04 16:04:12,7,1184,2019
2017-06-04 16:04:12,1,279,397
2017-06-04 16:04:12,2,520,697
2017-06-04 16:04:12,5,171,587
2017-06-05 09:30:15,8,1092,2947
2017-06-05 09:30:15,9,635,1332
2017-06-05 09:30:15,2,473,697
2017-06-05 09:30:15,7,1099,2019
2017-06-05 09:30:15,4,2561,3893
2017-06-05 09:30:15,0,487,2813
2017-06-05 09:30:15,1,265,397
2017-06-05 09:30:15,5,92,587
2017-06-05 09:30:15,6,1012,3113
2017-06-05 09:30:15,3,1147,1930
2017-06-05 10:30:17,5,137,587
2017-06-05 10:30:17,6,1191,3113
2017-06-05 10:30:17,7,1348,2019
2017-06-05 10:30:17,3,1388,1930
2017-06-05 10:30:17,8,1297,2947
2017-06-05 10:30:17,2,587,697
2017-06-05 10:30:17,4,3126,3893
2017-06-05 10:30:17,9,770,1332
2017-06-05 10:30:17,0,595,2813
2017-06-05 10:30:17,1,346,397
2017-06-05 11:30:18,6,1268,3113
2017-06-05 11:30:18,4,3203,3893
2017-06-05 11:30:18,3,1439,1930
2017-06-05 11:04:19,0,612,2813
2017-06-05 11:30:18,2,649,697
2017-06-05 11:30:18,7,1445,2019
2017-06-05 11:30:18,5,171,587
2017-06-05 11:30:18,9,805,1332
2017-06-05 11:30:18,1,349,397
2017-06-05 11:30:18,8,1349,2947
2017-06-05 12:04:14,1,346,397
2017-06-05 12:04:14,3,1455,1930
2017-06-05 12:04:14,4,3222,3893
2017-06-05 12:30:16,8,1380,2947
2017-06-05 12:30:16,5,192,587
2017-06-05 12:30:16,2,670,697
2017-06-05 12:04:14,0,591,2813
2017-06-05 12:30:16,7,1481,2019
2017-06-05 12:30:16,6,1287,3113
2017-06-05 12:30:16,9,820,1332
2017-06-05 12:57:15,2,672,697
2017-06-05 12:04:14,5,187,587
2017-06-05 12:57:15,1,352,397
2017-06-05 12:04:14,4,3222,3893
2017-06-05 12:57:15,7,1499,2019
2017-06-05 12:57:15,0,595,2813
2017-06-05 12:57:15,8,1390,2947
2017-06-05 12:57:15,9,836,1332
2017-06-05 12:04:14,3,1455,1930
2017-06-05 12:57:15,6,1288,3113
2017-06-05 13:30:19,6,1257,3113
2017-06-05 13:30:19,0,592,2813
2017-06-05 13:30:19,5,188,587
2017-06-05 13:30:19,8,1395,2947
2017-06-05 13:30:19,3,1436,1930
2017-06-05 13:30:19,2,647,697
2017-06-05 13:30:19,7,1471,2019
2017-06-05 13:30:19,9,833,1332
2017-06-05 13:30:19,1,354,397
2017-06-05 13:30:19,4,3155,3893
2017-06-05 14:30:17,9,803,1332
2017-06-05 14:30:17,8,1359,2947
2017-06-05 14:30:17,2,629,697
2017-06-05 14:30:17,7,1423,2019
2017-06-05 14:30:17,5,167,587
2017-06-05 14:30:17,0,556,2813
2017-06-05 14:30:17,4,3081,3893
2017-06-05 14:30:17,6,1201,3113
2017-06-05 14:30:17,3,1418,1930
2017-06-05 14:30:17,1,345,397
2017-06-05 16:04:18,4,2580,3893
2017-06-05 16:04:18,2,522,697
2017-06-05 16:04:18,5,130,587
2017-06-05 16:04:18,7,1207,2019
2017-06-05 16:04:18,0,454,2813
2017-06-05 16:04:18,3,1212,1930
2017-06-05 16:04:18,1,293,397
2017-06-05 16:04:18,6,1001,3113
2017-06-05 16:04:18,9,694,1332
2017-06-05 16:04:18,8,1161,2947
2017-06-06 08:57:22,7,949,2019
2017-06-06 08:57:22,5,79,587
2017-06-06 08:57:22,3,946,1930
2017-06-06 08:57:22,0,333,2813
2017-06-06 08:57:22,6,905,3113
2017-06-06 08:57:22,9,502,1332
2017-06-06 08:57:22,2,456,697
2017-06-06 08:57:22,4,1983,3893
2017-06-06 08:57:22,8,867,2947
2017-06-06 08:57:22,1,166,397
2017-06-06 10:30:20,8,1231,2947
2017-06-06 10:30:20,6,1167,3113
2017-06-06 10:30:20,4,2859,3893
2017-06-06 10:30:20,1,277,397
2017-06-06 10:30:20,3,1294,1930
2017-06-06 10:30:20,7,1270,2019
2017-06-06 10:30:20,0,521,2813
2017-06-06 10:30:20,5,169,587
2017-06-06 10:30:20,9,692,1332
2017-06-06 10:30:20,2,587,697
2017-06-06 10:57:20,4,2966,3893
2017-06-06 10:57:20,6,1193,3113
2017-06-06 10:57:20,2,600,697
2017-06-06 10:57:20,0,549,2813
2017-06-06 10:57:20,7,1324,2019
2017-06-06 10:57:20,3,1344,1930
2017-06-06 10:57:20,8,1281,2947
2017-06-06 10:57:20,1,296,397
2017-06-06 10:57:20,9,733,1332
2017-06-06 10:57:20,5,186,587
2017-06-06 12:30:24,5,215,587
2017-06-06 12:30:24,0,609,2813
2017-06-06 12:30:24,4,3135,3893
2017-06-06 12:30:24,6,1292,3113
2017-06-06 12:30:24,7,1445,2019
2017-06-06 12:30:24,9,786,1332
2017-06-06 12:30:24,3,1417,1930
2017-06-06 12:30:24,1,331,397
2017-06-06 12:30:24,2,668,697
2017-06-06 12:30:24,8,1357,2947
2017-06-06 12:57:21,0,614,2813
2017-06-06 12:04:24,2,657,697
2017-06-06 12:04:24,7,1414,2019
2017-06-06 12:57:21,4,3146,3893
2017-06-06 12:04:24,5,208,587
2017-06-06 12:04:24,6,1282,3113
2017-06-06 12:57:21,9,794,1332
2017-06-06 12:57:21,1,339,397
2017-06-06 12:57:21,3,1431,1930
2017-06-06 12:57:21,8,1353,2947
2017-06-06 13:30:21,8,1349,2947
2017-06-06 13:57:22,9,790,1332
2017-06-06 13:57:22,4,3143,3893
2017-06-06 13:30:21,2,594,697
2017-06-06 13:30:21,0,601,2813
2017-06-06 13:30:21,6,1205,3113
2017-06-06 13:30:21,7,1373,2019
2017-06-06 13:30:21,5,217,587
2017-06-06 13:57:22,3,1430,1930
2017-06-06 13:57:22,1,337,397
2017-06-06 15:04:22,5,167,587
2017-06-06 15:04:22,3,1355,1930
2017-06-06 15:04:22,2,556,697
2017-06-06 15:04:22,6,1090,3113
2017-06-06 15:04:22,8,1255,2947
2017-06-06 15:04:22,1,305,397
2017-06-06 15:04:22,7,1277,2019
2017-06-06 15:04:22,9,730,1332
2017-06-06 15:04:22,4,2930,3893
2017-06-06 15:04:22,0,518,2813
2017-06-06 16:04:23,8,1132,2947
2017-06-06 16:04:23,3,1179,1930
2017-06-06 16:04:23,1,269,397
2017-06-06 16:04:23,4,2551,3893
2017-06-06 16:04:23,9,665,1332
2017-06-06 16:04:23,0,443,2813
2017-06-06 16:04:23,5,144,587
2017-06-06 16:04:23,7,1166,2019
2017-06-06 16:04:23,2,510,697
2017-06-06 16:04:23,6,982,3113
2017-06-07 08:30:27,6,830,3113
2017-06-07 08:30:27,9,437,1332
2017-06-07 08:30:27,2,452,697
2017-06-07 08:30:27,5,70,587
2017-06-07 08:30:27,4,1418,3893
2017-06-07 08:30:27,7,880,2019
2017-06-07 08:30:27,8,664,2947
2017-06-07 08:30:27,3,747,1930
2017-06-07 08:30:27,0,259,2813
2017-06-07 08:30:27,1,135,397
2017-06-07 09:30:27,6,1012,3113
2017-06-07 09:30:27,2,540,697
2017-06-07 09:30:27,9,540,1332
2017-06-07 09:30:27,0,381,2813
2017-06-07 09:30:27,4,2158,3893
2017-06-07 09:30:27,5,112,587
2017-06-07 09:30:27,8,926,2947
2017-06-07 09:30:27,1,192,397
2017-06-07 09:30:27,7,1071,2019
2017-06-07 09:30:27,3,1022,1930
2017-06-07 09:57:27,9,587,1332
2017-06-07 09:57:27,0,413,2813
2017-06-07 09:57:27,5,137,587
2017-06-07 09:57:27,7,1156,2019
2017-06-07 09:57:27,6,1085,3113
2017-06-07 09:57:27,2,578,697
2017-06-07 09:57:27,4,2380,3893
2017-06-07 09:57:27,1,208,397
2017-06-07 09:57:27,8,988,2947
2017-06-07 09:57:27,3,1134,1930
2017-06-07 10:57:30,3,1238,1930
2017-06-07 10:57:30,4,2600,3893
2017-06-07 10:57:30,6,1171,3113
2017-06-07 10:57:30,0,486,2813
2017-06-07 10:57:30,5,197,587
2017-06-07 10:57:30,7,1274,2019
2017-06-07 10:57:30,9,652,1332
2017-06-07 10:57:30,2,631,697
2017-06-07 10:57:30,8,1092,2947
2017-06-07 10:57:30,1,255,397
2017-06-07 12:03:29,6,1217,3113
2017-06-07 12:03:29,0,518,2813
2017-06-07 12:03:29,1,285,397
2017-06-07 12:03:29,9,706,1332
2017-06-07 12:03:29,8,1145,2947
2017-06-07 12:30:28,2,674,697
2017-06-07 12:30:28,4,2678,3893
2017-06-07 12:03:29,5,219,587
2017-06-07 12:30:28,7,1370,2019
2017-06-07 12:30:28,3,1271,1930
2017-06-07 13:04:28,9,708,1332
2017-06-07 13:04:28,2,676,697
2017-06-07 13:04:28,3,1276,1930
2017-06-07 13:04:28,8,1133,2947
2017-06-07 13:04:28,6,1199,3113
2017-06-07 13:04:28,1,295,397
2017-06-07 13:30:29,5,210,587
2017-06-07 13:04:28,0,520,2813
2017-06-07 13:04:28,7,1375,2019
2017-06-07 13:04:28,4,2685,3893
2017-06-07 14:03:28,0,503,2813
2017-06-07 14:03:28,4,2591,3893
2017-06-07 14:03:28,5,202,587
2017-06-07 14:03:28,7,1320,2019
2017-06-07 14:03:28,6,1134,3113
2017-06-07 14:03:28,3,1254,1930
2017-06-07 14:03:28,2,645,697
2017-06-07 14:03:28,9,684,1332
2017-06-07 14:03:28,1,295,397
2017-06-07 14:03:28,8,1121,2947
2017-06-07 15:04:30,1,269,397
2017-06-07 15:04:30,4,2364,3893
2017-06-07 15:04:30,3,1189,1930
2017-06-07 15:04:30,2,607,697
2017-06-07 15:04:30,0,443,2813
2017-06-07 15:04:30,5,181,587
2017-06-07 15:04:30,7,1231,2019
2017-06-07 15:04:30,8,1051,2947
2017-06-07 15:04:30,9,633,1332
2017-06-07 15:04:30,6,1048,3113
2017-06-07 15:04:30,8,1051,2947
2017-06-07 15:04:30,9,633,1332
2017-06-07 15:04:30,6,1048,3113
2017-06-07 15:04:30,3,1189,1930
2017-06-07 15:04:30,1,269,397
2017-06-07 15:04:30,4,2364,3893
2017-06-07 15:04:30,7,1231,2019
2017-06-07 15:04:30,5,181,587
2017-06-07 15:04:30,2,607,697
2017-06-07 15:04:30,0,443,2813
2017-06-08 08:57:34,2,409,697
2017-06-08 08:57:34,4,671,3893
2017-06-08 08:57:34,8,411,2947
2017-06-08 08:57:34,7,766,2019
2017-06-08 08:57:34,5,84,587
2017-06-08 08:57:34,9,366,1332
2017-06-08 08:57:34,0,158,2813
2017-06-08 08:57:34,6,683,3113
2017-06-08 08:57:34,1,101,397
2017-06-08 08:57:34,3,406,1930
2017-06-08 10:30:34,8,527,2947
2017-06-08 10:30:34,6,768,3113
2017-06-08 10:30:34,9,497,1332
2017-06-08 10:30:34,4,1010,3893
2017-06-08 10:30:34,5,200,587
2017-06-08 10:30:34,0,312,2813
2017-06-08 10:30:34,7,939,2019
2017-06-08 10:30:34,3,593,1930
2017-06-08 10:30:34,2,451,697
2017-06-08 10:30:34,1,207,397
2017-06-08 10:57:34,5,232,587
2017-06-08 10:57:34,6,797,3113
2017-06-08 10:57:34,8,552,2947
2017-06-08 10:57:34,7,964,2019
2017-06-08 10:57:34,0,358,2813
2017-06-08 10:57:34,3,635,1930
2017-06-08 10:57:34,1,225,397
2017-06-08 10:57:34,2,455,697
2017-06-08 10:57:34,9,518,1332
2017-06-08 10:57:34,4,1078,3893
2017-06-08 12:30:36,0,466,2813
2017-06-08 12:30:36,3,814,1930
2017-06-08 12:30:36,1,279,397
2017-06-08 12:30:36,4,1405,3893
2017-06-08 12:30:36,8,620,2947
2017-06-08 12:30:36,7,1113,2019
2017-06-08 12:30:36,9,616,1332
2017-06-08 12:30:36,2,506,697
2017-06-08 12:30:36,5,329,587
2017-06-08 12:30:36,6,907,3113
2017-06-08 13:30:36,5,366,587
2017-06-08 13:30:36,6,1000,3113
2017-06-08 13:30:36,9,727,1332
2017-06-08 13:30:36,4,1510,3893
2017-06-08 13:30:36,0,551,2813
2017-06-08 13:30:36,2,548,697
2017-06-08 13:30:36,8,729,2947
2017-06-08 13:30:36,3,884,1930
2017-06-08 13:30:36,7,1266,2019
2017-06-08 13:30:36,1,339,397
2017-06-08 14:30:35,9,804,1332
2017-06-08 14:30:35,2,602,697
2017-06-08 14:30:35,6,1108,3113
2017-06-08 14:30:35,3,934,1930
2017-06-08 14:30:35,4,1588,3893
2017-06-08 14:30:35,8,794,2947
2017-06-08 14:30:35,0,588,2813
2017-06-08 14:30:35,7,1397,2019
2017-06-08 14:30:35,5,409,587
2017-06-08 14:30:35,1,354,397
2017-06-08 14:57:41,4,1609,3893
2017-06-08 14:57:41,3,963,1930
2017-06-08 14:57:41,5,404,587
2017-06-08 14:57:41,0,589,2813
2017-06-08 14:03:38,1,350,397
2017-06-08 14:57:41,9,796,1332
2017-06-08 14:57:41,7,1396,2019
2017-06-08 14:57:41,6,1127,3113
2017-06-08 14:57:41,2,609,697
2017-06-08 14:57:41,8,808,2947
2017-06-08 16:04:39,0,582,2813
2017-06-08 16:04:39,3,874,1930
2017-06-08 16:04:39,1,347,397
2017-06-08 16:04:39,8,819,2947
2017-06-08 16:04:39,9,790,1332
2017-06-08 16:30:42,6,1135,3113
2017-06-08 16:04:39,4,1473,3893
2017-06-08 16:04:39,5,390,587
2017-06-08 16:04:39,7,1402,2019
2017-06-08 16:04:39,2,621,697
2017-06-09 08:30:45,8,396,2947
2017-06-09 08:30:45,0,116,2813
2017-06-09 08:04:40,5,51,587
2017-06-09 08:04:40,2,297,697
2017-06-09 08:04:40,4,570,3893
2017-06-09 08:30:45,1,101,397
2017-06-09 08:30:45,7,650,2019
2017-06-09 08:30:45,6,539,3113
2017-06-09 08:04:40,3,294,1930
2017-06-09 08:30:45,9,362,1332
2017-06-09 09:30:45,9,390,1332
2017-06-09 09:30:45,4,584,3893
2017-06-09 09:30:45,0,167,2813
2017-06-09 09:30:45,7,682,2019
2017-06-09 09:04:46,5,52,587
2017-06-09 09:30:45,6,570,3113
2017-06-09 09:30:45,3,291,1930
2017-06-09 09:30:45,8,422,2947
2017-06-09 09:30:45,1,127,397
2017-06-09 09:30:45,2,301,697
2017-06-09 09:57:41,8,439,2947
2017-06-09 09:57:41,6,586,3113
2017-06-09 09:57:41,9,378,1332
2017-06-09 09:57:41,3,306,1930
2017-06-09 09:57:41,7,678,2019
2017-06-09 09:57:41,5,59,587
2017-06-09 09:57:41,1,138,397
2017-06-09 09:57:41,4,604,3893
2017-06-09 09:57:41,2,309,697
2017-06-09 09:57:41,0,185,2813
2017-06-09 11:30:41,9,515,1332
2017-06-09 11:30:41,6,669,3113
2017-06-09 11:30:41,5,135,587
2017-06-09 11:30:41,4,736,3893
2017-06-09 11:30:41,7,821,2019
2017-06-09 11:30:41,1,231,397
2017-06-09 11:30:41,8,562,2947
2017-06-09 11:30:41,3,389,1930
2017-06-09 11:30:41,0,363,2813
2017-06-09 11:30:41,2,315,697
2017-06-09 11:57:46,9,554,1332
2017-06-09 11:57:46,8,581,2947
2017-06-09 11:57:46,4,796,3893
2017-06-09 11:57:46,2,311,697
2017-06-09 11:57:46,0,404,2813
2017-06-09 11:57:46,7,856,2019
2017-06-09 11:57:46,5,157,587
2017-06-09 11:57:46,3,426,1930
2017-06-09 11:57:46,6,677,3113
2017-06-09 11:57:46,1,256,397
2017-06-09 13:30:42,1,353,397
2017-06-09 13:04:43,6,686,3113
2017-06-09 13:30:42,2,322,697
2017-06-09 13:30:42,7,987,2019
2017-06-09 13:30:42,3,496,1930
2017-06-09 13:30:42,8,667,2947
2017-06-09 13:30:42,0,506,2813
2017-06-09 13:30:42,4,892,3893
2017-06-09 13:30:42,9,674,1332
2017-06-09 13:30:42,5,214,587
2017-06-09 14:03:42,8,694,2947
2017-06-09 14:30:42,5,218,587
2017-06-09 14:03:42,6,705,3113
2017-06-09 14:30:42,4,939,3893
2017-06-09 14:03:42,9,694,1332
2017-06-09 14:30:42,1,353,397
2017-06-09 14:30:42,2,364,697
2017-06-09 14:30:42,7,1045,2019
2017-06-09 14:30:42,3,506,1930
2017-06-09 14:03:42,0,489,2813
2017-06-09 15:30:46,2,375,697
2017-06-09 15:04:44,4,898,3893
2017-06-09 15:04:44,3,487,1930
2017-06-09 15:04:44,5,200,587
2017-06-09 15:04:44,6,698,3113
2017-06-09 15:04:44,0,453,2813
2017-06-09 15:04:44,9,691,1332
2017-06-09 15:04:44,8,705,2947
2017-06-09 15:04:44,7,1055,2019
2017-06-09 15:04:44,1,341,397
2017-06-09 16:03:43,4,770,3893
2017-06-09 16:03:43,7,977,2019
2017-06-09 16:03:43,8,662,2947
2017-06-09 16:03:43,9,613,1332
2017-06-09 16:03:43,1,295,397
2017-06-09 16:03:43,0,373,2813
2017-06-09 16:03:43,6,663,3113
2017-06-09 16:03:43,2,373,697
2017-06-09 16:03:43,5,164,587
2017-06-09 16:03:43,3,430,1930
2017-06-10 08:30:47,6,630,3113
2017-06-10 08:30:47,7,638,2019
2017-06-10 08:30:47,0,208,2813
2017-06-10 08:30:47,3,676,1930
2017-06-10 08:30:47,8,610,2947
2017-06-10 08:30:47,1,103,397
2017-06-10 08:30:47,9,353,1332
2017-06-10 08:30:47,4,1433,3893
2017-06-10 08:30:47,5,65,587
2017-06-10 08:30:47,2,294,697
2017-06-10 09:30:49,2,417,697
2017-06-10 09:30:49,6,855,3113
2017-06-10 09:30:49,9,462,1332
2017-06-10 09:30:49,1,162,397
2017-06-10 09:30:49,8,918,2947
2017-06-10 09:30:49,5,82,587
2017-06-10 09:30:49,3,1058,1930
2017-06-10 09:30:49,4,2367,3893
2017-06-10 09:30:49,7,870,2019
2017-06-10 09:30:49,0,324,2813
2017-06-10 10:30:48,9,580,1332
2017-06-10 10:30:48,2,509,697
2017-06-10 10:30:48,8,1102,2947
2017-06-10 10:30:48,3,1247,1930
2017-06-10 10:30:48,7,1080,2019
2017-06-10 10:30:48,4,2815,3893
2017-06-10 10:30:48,0,425,2813
2017-06-10 10:30:48,1,229,397
2017-06-10 10:30:48,6,1019,3113
2017-06-10 10:30:48,5,122,587
2017-06-10 10:57:52,1,244,397
2017-06-10 10:57:52,0,445,2813
2017-06-10 10:57:52,2,520,697
2017-06-10 10:57:52,4,2912,3893
2017-06-10 10:57:52,7,1121,2019
2017-06-10 10:57:52,9,610,1332
2017-06-10 10:57:52,5,153,587
2017-06-10 10:57:52,8,1129,2947
2017-06-10 10:57:52,6,1044,3113
2017-06-10 10:57:52,3,1290,1930
2017-06-10 11:57:49,9,650,1332
2017-06-10 11:57:49,8,1202,2947
2017-06-10 11:57:49,4,3001,3893
2017-06-10 11:57:49,6,1090,3113
2017-06-10 11:57:49,3,1333,1930
2017-06-10 11:57:49,0,480,2813
2017-06-10 11:57:49,5,168,587
2017-06-10 11:57:49,2,546,697
2017-06-10 11:57:49,7,1187,2019
2017-06-10 11:57:49,1,264,397
2017-06-10 13:04:49,1,302,397
2017-06-10 13:04:49,2,563,697
2017-06-10 13:04:49,8,1253,2947
2017-06-10 13:04:49,5,185,587
2017-06-10 13:30:49,0,514,2813
2017-06-10 13:30:49,9,698,1332
2017-06-10 13:04:49,6,1100,3113
2017-06-10 13:04:49,4,3033,3893
2017-06-10 13:04:49,7,1247,2019
2017-06-10 13:04:49,3,1344,1930
2017-06-10 14:03:49,7,1223,2019
2017-06-10 14:03:49,6,1081,3113
2017-06-10 14:03:49,0,511,2813
2017-06-10 14:03:49,8,1223,2947
2017-06-10 14:03:49,4,2976,3893
2017-06-10 14:03:49,3,1316,1930
2017-06-10 14:03:49,9,691,1332
2017-06-10 14:03:49,2,541,697
2017-06-10 14:03:49,5,170,587
2017-06-10 14:03:49,1,293,397
2017-06-10 14:03:49,5,170,587
2017-06-10 14:03:49,1,293,397
2017-06-10 14:03:49,9,691,1332
2017-06-10 14:03:49,0,511,2813
2017-06-10 14:03:49,4,2976,3893
2017-06-10 14:03:49,8,1223,2947
2017-06-10 14:03:49,3,1316,1930
2017-06-10 14:03:49,6,1081,3113
2017-06-10 14:03:49,7,1223,2019
2017-06-10 14:03:49,2,541,697
2017-06-10 15:30:49,2,480,697
2017-06-10 15:30:49,4,2694,3893
2017-06-10 15:30:49,8,1110,2947
2017-06-10 15:57:55,5,139,587
2017-06-10 15:30:49,7,1099,2019
2017-06-10 15:30:49,9,628,1332
2017-06-10 15:30:49,0,448,2813
2017-06-10 15:30:49,6,965,3113
2017-06-10 15:30:49,1,266,397
2017-06-10 15:30:49,3,1206,1930
2017-06-11 08:30:54,3,705,1930
2017-06-11 08:30:54,4,1533,3893
2017-06-11 08:30:54,2,350,697
2017-06-11 08:30:54,9,485,1332
2017-06-11 08:30:54,6,736,3113
